Order Number,Customer Number,Region,Item Number,Item Description LOOKUP,Backlog Quantity,Backlog USD,Order Date,Salesperson Code,Intercompany
O15767,C08868,EMEA,I350330,Oven #2,1,$933.60,7/26/2023,S31,Intercompany
O15767,C08868,EMEA,I350002,Masonry oven #1,1,$245.12,7/26/2023,S31,Intercompany
O15767,C08868,EMEA,I350340,Panini sandwich grill #1,4,$137.88,7/26/2023,S31,Intercompany
O15767,C08868,EMEA,I350330,Oven #2,1,$110.63,7/26/2023,S31,Intercompany
O15795,C06961,LATAM,I240610,Roasting jack #3,10,$112.08,9/16/2023,S50,Not IC
O15795,C06961,LATAM,I260258,Sous-vide cooker #1,2,$76.64,9/16/2023,S50,Not IC
O15803,C05902,LATAM,I950617,Hot plate #3,3,$476.01,4/16/2023,S50,Not IC
O15803,C05902,LATAM,I950617,Hot plate #3,2,$324.63,4/16/2023,S50,Not IC
O15803,C05902,LATAM,I920160,Convection microwave #3,3,$120.31,4/16/2023,S50,Not IC
O15829,C04769,APAC,I960000,Instant Pot #1,1,$163.68,8/8/2022,S60,Not IC
O15843,C08895,EMEA,I246000,Russian oven #1,1,$352.82,2/26/2021,S77,Intercompany
O15915,C07030,EMEA,I246000,Russian oven #1,1,$352.82,12/29/2022,S27,Intercompany
O15963,C08894,EMEA,I246000,Russian oven #1,2,$906.50,8/24/2022,S77,Intercompany
O15963,C08894,EMEA,I246000,Russian oven #1,2,$260.22,8/24/2022,S77,Intercompany
O16179,C08785,N. America,I539617,Vacuum fryer #2,1,$172.84,12/1/2022,S10,Not IC
O16179,C08785,N. America,I539617,Vacuum fryer #2,1,$156.60,12/1/2022,S10,Not IC
O16179,C08785,N. America,I539617,Vacuum fryer #2,1,$154.58,12/1/2022,S10,Not IC
O16179,C08785,N. America,I539617,Vacuum fryer #2,1,$141.54,12/1/2022,S10,Not IC
O16867,C04811,N. America,I539617,Vacuum fryer #2,1,$118.93,4/13/2022,S05,Not IC
O17139,C07337,N. America,IDENSIT,Panini sandwich grill #3,3,$135.93,11/24/2022,S05,Not IC
O17595,C04758,LATAM,I302336,Flattop grill #1,1,$451.42,7/7/2023,S08,Not IC
O17595,C04758,LATAM,I302336,Flattop grill #1,1,$284.89,7/7/2023,S08,Not IC
O17595,C04758,LATAM,I302336,Flattop grill #1,1,$284.89,7/7/2023,S08,Not IC
O17595,C04758,LATAM,I302336,Flattop grill #1,1,$277.81,7/7/2023,S08,Not IC
O17595,C04758,LATAM,I302336,Flattop grill #1,1,$240.25,7/7/2023,S08,Not IC
O17595,C04758,LATAM,I303000,Halogen oven #1,1,$122.13,7/7/2023,S08,Not IC
O17731,C06291,LATAM,I950617,Hot plate #3,2,$325.24,2/10/2022,S29,Not IC
O20051,C04226,LATAM,I942330,Espresso machine #1,1,$144.77,10/1/2022,S67,Not IC
O21387,C04000,EMEA,I242501,Rotisserie #3,1,$342.56,10/4/2022,S30,Intercompany
O21387,C04000,EMEA,I202330,Hibachi #3,1,$225.94,10/4/2022,S30,Intercompany
O21577,C06235,N. America,I539617,Vacuum fryer #2,2,$436.40,10/6/2022,S05,Not IC
O23771,C06186,N. America,I239000,Popcorn maker #3,1,$940.66,8/24/2022,S09,Not IC
O23951,C03537,EMEA,I350336,Pancake machine #3,2,$813.81,11/28/2022,S11,Not IC
O23951,C03537,EMEA,I291617,Wet grinder #2,10,$613.06,11/28/2022,S11,Not IC
O23951,C03537,EMEA,I350610,Pressure cooker #3,11,$337.83,11/28/2022,S11,Not IC
O24003,C03525,LATAM,I302336,Flattop grill #1,1,$545.80,12/28/2022,S26,Not IC
O24753,C08606,N. America,I539336,Thermal immersion circulator #2,1,$565.36,9/14/2022,S05,Not IC
O25109,C03339,LATAM,I302258,Fire pot #3,3,$271.37,10/22/2022,S32,Not IC
O25109,C03339,LATAM,I302258,Fire pot #3,5,$193.46,10/22/2022,S32,Not IC
O26267,C06931,N. America,I950617,Hot plate #3,2,$284.38,11/18/2022,S10,Not IC
O26267,C06931,N. America,I950617,Hot plate #3,2,$284.38,11/18/2022,S10,Not IC
O26267,C06931,N. America,I950617,Hot plate #3,2,$284.38,11/18/2022,S10,Not IC
O26267,C06931,N. America,I202330,Hibachi #3,1,$234.39,11/18/2022,S10,Not IC
O26267,C06931,N. America,I962000,Microwave oven #2,1,$200.23,11/18/2022,S10,Not IC
O27111,C08271,EMEA,I950617,Hot plate #3,13,$593.87,2/8/2022,S38,Not IC
O27381,C02984,N. America,I009TRA,Bachelor griller #2,1,$967.90,9/13/2022,S10,Not IC
O27939,C02901,APAC,I293330,Chocolatera #2,1,$195.63,3/26/2023,S59,Intercompany
O27939,C02901,APAC,I293330,Chocolatera #2,1,$165.71,3/26/2023,S59,Intercompany
O27995,C02930,LATAM,I240610,Roasting jack #3,10,$678.76,3/26/2023,S17,Not IC
O27995,C02930,LATAM,I246000,Russian oven #1,1,$592.16,3/26/2023,S17,Not IC
O27995,C02930,LATAM,I246000,Russian oven #1,1,$183.22,3/26/2023,S17,Not IC
O27999,C07357,N. America,I850005,Combi steamer #1,1,$596.50,2/27/2023,S06,Not IC
O27999,C07357,N. America,I850005,Combi steamer #1,1,$166.12,2/27/2023,S06,Not IC
O27999,C07357,N. America,I880000,Communal oven #2,1,$124.90,2/27/2023,S06,Not IC
O28335,C06160,N. America,I810600,Chorkor oven #2,1,$896.15,9/30/2023,S21,Not IC
O28335,C06160,N. America,I810600,Chorkor oven #2,1,$629.13,9/30/2023,S21,Not IC
O28335,C06160,N. America,I810600,Chorkor oven #2,1,$484.91,9/30/2023,S21,Not IC
O28335,C06160,N. America,I810005,Chapati maker #2,1,$421.58,9/30/2023,S21,Not IC
O28335,C06160,N. America,I810330,Cheesemelter #3,1,$287.75,9/30/2023,S21,Not IC
O28335,C06160,N. America,I810001,Butane torch #1,1,$278.73,9/30/2023,S21,Not IC
O28335,C06160,N. America,I810336,Chocolatera #1,2,$202.66,9/30/2023,S21,Not IC
O28335,C06160,N. America,I810600,Chorkor oven #2,1,$155.01,9/30/2023,S21,Not IC
O28335,C06160,N. America,I810600,Chorkor oven #2,1,$139.44,9/30/2023,S21,Not IC
O28335,C06160,N. America,I810336,Chocolatera #1,1,$105.05,9/30/2023,S21,Not IC
O28335,C06160,N. America,I800336,Bachelor griller #3,1,$100.44,9/30/2023,S21,Not IC
O28351,C02813,N. America,I850005,Combi steamer #1,1,$577.90,9/30/2023,S04,Not IC
O28351,C02813,N. America,I850005,Combi steamer #1,1,$235.65,9/30/2023,S04,Not IC
O29119,C04974,N. America,I539617,Vacuum fryer #2,2,$366.19,12/20/2022,S21,Not IC
O29119,C04974,N. America,I539617,Vacuum fryer #2,2,$322.09,12/20/2022,S21,Not IC
O29119,C04974,N. America,I950617,Hot plate #3,8,$132.32,12/20/2022,S21,Not IC
O29569,C02655,LATAM,I133336,Beehive oven #1,1,$317.07,12/1/2022,S26,Not IC
O30915,C02491,LATAM,I239000,Popcorn maker #3,1,$100.20,5/1/2022,S32,Not IC
O30979,C02821,N. America,I293000,Butane torch #2,1,$321.19,4/2/2022,S05,Not IC
O31675,C02379,APAC,IP02258,Russian oven #2,1,$458.11,1/16/2022,S60,Not IC
O31735,C02368,EMEA,I961000,Mess kit #1,1,$193.12,2/19/2022,S77,Intercompany
O31911,C02342,LATAM,I512500,Solar cooker #2,1,$207.35,5/22/2022,S32,Not IC
O31921,C04738,APAC,I291617,Wet grinder #2,10,$579.90,12/22/2022,S59,Intercompany
O31921,C04738,APAC,I293000,Butane torch #2,1,$363.16,12/22/2022,S59,Intercompany
O31985,C02326,LATAM,I962000,Microwave oven #2,1,$163.64,4/27/2022,S70,Not IC
O32005,C04884,EMEA,I134336,Cheesemelter #2,1,$341.09,5/27/2023,S31,Intercompany
O32005,C04884,EMEA,I962000,Microwave oven #2,1,$164.15,5/27/2023,S31,Intercompany
O32037,C02313,LATAM,I202502,Hot plate #2,2,$536.47,3/27/2022,S51,Not IC
O32051,C02839,APAC,I961000,Mess kit #1,1,$194.16,12/27/2022,S60,Not IC
O32051,C02839,APAC,I950617,Hot plate #3,1,$137.23,12/27/2022,S60,Not IC
O32059,C02306,N. America,I539608,Turkey fryer #1,2,$497.97,5/27/2023,S05,Not IC
O32059,C02306,N. America,I539336,Thermal immersion circulator #2,3,$124.50,5/27/2023,S05,Not IC
O32087,C06835,N. America,I850005,Combi steamer #1,1,$428.28,6/29/2022,S10,Not IC
O32087,C06835,N. America,I850005,Combi steamer #1,1,$293.76,6/29/2022,S10,Not IC
O32087,C06835,N. America,I850005,Combi steamer #1,1,$256.92,6/29/2022,S10,Not IC
O32107,C02298,APAC,I950617,Hot plate #3,6,$689.85,4/29/2023,S60,Not IC
O32107,C02298,APAC,I950617,Hot plate #3,2,$244.54,4/29/2023,S60,Not IC
O32107,C02298,APAC,I950617,Hot plate #3,2,$244.54,4/29/2023,S60,Not IC
O32107,C02298,APAC,I962336,Oven #1,1,$162.94,4/29/2023,S60,Not IC
O32107,C02298,APAC,I960500,Masonry oven #3,1,$160.87,4/29/2023,S60,Not IC
O32107,C02298,APAC,I950258,Halogen oven #3,2,$76.81,4/29/2023,S60,Not IC
O32107,C02298,APAC,I950258,Halogen oven #3,2,$73.03,4/29/2023,S60,Not IC
O32119,C03595,APAC,I292340,Beehive oven #3,1,$363.75,3/29/2022,S60,Not IC
O32167,C02288,APAC,I961000,Mess kit #1,1,$180.64,3/30/2023,S60,Not IC
O32167,C02288,APAC,I950617,Hot plate #3,1,$127.67,3/30/2023,S60,Not IC
O32193,C02282,LATAM,I962336,Oven #1,1,$474.38,6/30/2023,S68,Not IC
O32193,C02282,LATAM,I962258,Multicooker #3,1,$447.66,6/30/2023,S68,Not IC
O32193,C02282,LATAM,I960500,Masonry oven #3,1,$190.51,6/30/2023,S68,Not IC
O32203,C02280,LATAM,I275000,Tandoor #2,1,$106.54,3/30/2022,S22,Not IC
O32343,C04738,APAC,I293336,Chorkor oven #3,1,$702.02,7/6/2023,S59,Intercompany
O32343,C04738,APAC,I293000,Butane torch #2,1,$324.55,7/6/2023,S59,Intercompany
O32343,C04738,APAC,I293330,Chocolatera #2,1,$295.59,7/6/2023,S59,Intercompany
O32343,C04738,APAC,I293258,Cheesemelter #1,1,$272.28,7/6/2023,S59,Intercompany
O32405,C04304,APAC,I293336,Chorkor oven #3,1,$107.61,4/9/2023,S60,Not IC
O32445,C03526,APAC,I293000,Butane torch #2,1,$248.78,6/10/2023,S60,Not IC
O32541,C02223,APAC,I293000,Butane torch #2,1,$285.61,6/11/2023,S60,Not IC
O32587,C02219,APAC,I293000,Butane torch #2,1,$243.10,1/12/2023,S60,Not IC
O32595,C04738,APAC,I950617,Hot plate #3,2,$285.35,7/12/2023,S59,Intercompany
O32595,C04738,APAC,I960000,Instant Pot #1,1,$159.40,7/12/2023,S59,Intercompany
O32595,C04738,APAC,I950617,Hot plate #3,1,$148.32,7/12/2023,S59,Intercompany
O32595,C04738,APAC,I920160,Convection microwave #3,2,$72.13,7/12/2023,S59,Intercompany
O32683,C03546,APAC,I350000,Kitchener range #3,1,$237.23,5/16/2023,S60,Not IC
O32751,C02194,APAC,I202502,Hot plate #2,1,$168.56,7/17/2023,S60,Not IC
O32865,C01109,APAC,I950617,Hot plate #3,6,$800.86,5/19/2023,S60,Not IC
O32865,C01109,APAC,I950617,Hot plate #3,3,$409.55,5/19/2023,S60,Not IC
O32865,C01109,APAC,I950617,Hot plate #3,3,$409.55,5/19/2023,S60,Not IC
O32865,C01109,APAC,I950617,Hot plate #3,2,$279.31,5/19/2023,S60,Not IC
O32865,C01109,APAC,I962000,Microwave oven #2,1,$215.44,5/19/2023,S60,Not IC
O32865,C01109,APAC,I920160,Convection microwave #3,2,$70.60,5/19/2023,S60,Not IC
O32893,C08271,EMEA,I950617,Hot plate #3,2,$317.96,6/19/2022,S38,Not IC
O33095,C08548,N. America,I295000,Communal oven #3,1,$350.72,6/24/2023,S04,Not IC
O33095,C08548,N. America,I292336,Barbecue grill #2,1,$168.83,6/24/2023,S04,Not IC
O33111,C08532,N. America,I160170,Earth oven #1,3,$211.84,6/25/2023,S21,Not IC
O33183,C09044,N. America,I539617,Vacuum fryer #2,1,$180.06,2/26/2022,S10,Not IC
O33203,C08785,N. America,I539617,Vacuum fryer #2,1,$180.06,5/26/2023,S10,Not IC
O33299,C03516,APAC,I202259,Food steamer #3,18,$597.25,6/30/2023,S60,Not IC
O33299,C03516,APAC,I950617,Hot plate #3,10,$216.43,6/30/2023,S60,Not IC
O33299,C03516,APAC,I240610,Roasting jack #3,18,$159.20,6/30/2023,S60,Not IC
O33299,C03516,APAC,I960000,Instant Pot #1,1,$148.12,6/30/2023,S60,Not IC
O33299,C03516,APAC,I950617,Hot plate #3,10,$112.50,6/30/2023,S60,Not IC
O33363,C02105,LATAM,I239336,Rice cooker #1,1,$808.70,5/31/2023,S17,Not IC
O33363,C02105,LATAM,I239000,Popcorn maker #3,1,$115.90,5/31/2023,S17,Not IC
O33763,C02217,LATAM,IP02258,Russian oven #2,1,$533.70,7/8/2023,S15,Not IC
O33763,C02217,LATAM,I240610,Roasting jack #3,10,$505.38,7/8/2023,S15,Not IC
O33763,C02217,LATAM,IP02330,Salamander broiler #3,1,$337.03,7/8/2023,S15,Not IC
O33763,C02217,LATAM,I238617,Panini sandwich grill #2,10,$314.07,7/8/2023,S15,Not IC
O33763,C02217,LATAM,I200258,Espresso machine #3,2,$288.33,7/8/2023,S15,Not IC
O33763,C02217,LATAM,I260258,Sous-vide cooker #1,10,$285.90,7/8/2023,S15,Not IC
O33763,C02217,LATAM,IP02258,Russian oven #2,1,$202.42,7/8/2023,S15,Not IC
O33763,C02217,LATAM,IP02258,Russian oven #2,4,$200.22,7/8/2023,S15,Not IC
O33763,C02217,LATAM,I240610,Roasting jack #3,10,$184.46,7/8/2023,S15,Not IC
O33763,C02217,LATAM,IP02258,Russian oven #2,1,$176.51,7/8/2023,S15,Not IC
O33763,C02217,LATAM,IP02258,Russian oven #2,1,$70.97,7/8/2023,S15,Not IC
O33931,C02029,EMEA,I962000,Microwave oven #2,1,$202.65,7/10/2023,S30,Intercompany
O33931,C02029,EMEA,I962336,Oven #1,1,$182.66,7/10/2023,S30,Intercompany
O33985,C02024,APAC,I293000,Butane torch #2,1,$318.99,4/13/2022,S60,Not IC
O33985,C02024,APAC,I293617,Combi steamer #2,2,$155.30,4/13/2022,S60,Not IC
O34115,C02006,APAC,I293000,Butane torch #2,1,$296.48,6/15/2023,S60,Not IC
O34115,C02006,APAC,I202330,Hibachi #3,1,$247.32,6/15/2023,S60,Not IC
O34115,C02006,APAC,I293617,Combi steamer #2,3,$236.84,6/15/2023,S60,Not IC
O34115,C02006,APAC,I240610,Roasting jack #3,10,$168.29,6/15/2023,S60,Not IC
O34121,C02003,APAC,I293617,Combi steamer #2,12,$854.77,7/15/2023,S60,Not IC
O34121,C02003,APAC,I350258,Mess kit #2,1,$539.13,7/15/2023,S60,Not IC
O34121,C02003,APAC,I350610,Pressure cooker #3,10,$497.97,7/15/2023,S60,Not IC
O34121,C02003,APAC,I292340,Beehive oven #3,1,$385.44,7/15/2023,S60,Not IC
O34121,C02003,APAC,I293000,Butane torch #2,1,$270.39,7/15/2023,S60,Not IC
O34121,C02003,APAC,I350000,Kitchener range #3,1,$216.68,7/15/2023,S60,Not IC
O34121,C02003,APAC,I350258,Mess kit #2,3,$200.79,7/15/2023,S60,Not IC
O34125,C02001,APAC,I292460,Bread machine #1,2,$362.56,8/15/2023,S60,Not IC
O34125,C02001,APAC,I293000,Butane torch #2,1,$294.16,8/15/2023,S60,Not IC
O34125,C02001,APAC,I293336,Chorkor oven #3,1,$110.60,8/15/2023,S60,Not IC
O34365,C05798,N. America,I302610,Griddle #3,10,$213.64,8/21/2023,S10,Not IC
O34581,C03007,N. America,I293000,Butane torch #2,1,$383.59,8/27/2023,S09,Not IC
O34581,C03007,N. America,I293330,Chocolatera #2,1,$294.30,8/27/2023,S09,Not IC
O34581,C03007,N. America,I293330,Chocolatera #2,1,$269.73,8/27/2023,S09,Not IC
O34581,C03007,N. America,I293330,Chocolatera #2,1,$234.39,8/27/2023,S09,Not IC
O34581,C03007,N. America,I009TRA,Bachelor griller #2,1,$150.84,8/27/2023,S09,Not IC
O34769,C05979,N. America,I293000,Butane torch #2,1,$382.72,8/1/2023,S09,Not IC
O34769,C05979,N. America,I293330,Chocolatera #2,1,$170.01,8/1/2023,S09,Not IC
O34975,C02650,APAC,I950617,Hot plate #3,6,$804.98,8/6/2023,S59,Intercompany
O34975,C02650,APAC,I920617,Corn roaster #2,4,$392.37,8/6/2023,S59,Intercompany
O34975,C02650,APAC,I920617,Corn roaster #2,4,$392.37,8/6/2023,S59,Intercompany
O34975,C02650,APAC,I920617,Corn roaster #2,3,$299.06,8/6/2023,S59,Intercompany
O34975,C02650,APAC,I920617,Corn roaster #2,3,$299.06,8/6/2023,S59,Intercompany
O34975,C02650,APAC,I962000,Microwave oven #2,1,$212.51,8/6/2023,S59,Intercompany
O34975,C02650,APAC,I950258,Halogen oven #3,1,$96.26,8/6/2023,S59,Intercompany
O34975,C02650,APAC,I920160,Convection microwave #3,2,$72.13,8/6/2023,S59,Intercompany
O35085,C01884,LATAM,IDIS460,Popcorn maker #1,1,$756.27,9/8/2023,S36,Not IC
O35085,C01884,LATAM,I293000,Butane torch #2,1,$316.97,9/8/2023,S36,Not IC
O35085,C01884,LATAM,I293336,Chorkor oven #3,1,$110.26,9/8/2023,S36,Not IC
O35105,C01995,LATAM,I350317,Multicooker #1,2,$484.20,5/8/2023,S29,Not IC
O35257,C08271,EMEA,I512340,Slow cooker #1,1,$401.76,3/10/2023,S38,Not IC
O35301,C01852,APAC,I293000,Butane torch #2,1,$246.60,9/13/2022,S60,Not IC
O35367,C01844,APAC,I293617,Combi steamer #2,4,$268.82,6/14/2023,S60,Not IC
O35367,C01844,APAC,I293000,Butane torch #2,1,$256.49,6/14/2023,S60,Not IC
O35371,C01842,EMEA,I293336,Chorkor oven #3,1,$697.25,8/14/2023,S32,Intercompany
O35371,C01842,EMEA,I293000,Butane torch #2,1,$310.35,8/14/2023,S32,Intercompany
O35371,C01842,EMEA,I293330,Chocolatera #2,1,$293.59,8/14/2023,S32,Intercompany
O35371,C01842,EMEA,I293258,Cheesemelter #1,1,$270.43,8/14/2023,S32,Intercompany
O35427,C01832,APAC,I240610,Roasting jack #3,25,$164.54,9/15/2023,S60,Not IC
O35515,C06388,N. America,I962000,Microwave oven #2,1,$198.15,4/17/2023,S06,Not IC
O35599,C01817,LATAM,I962000,Microwave oven #2,1,$176.49,9/20/2023,S70,Not IC
O35625,C02614,EMEA,I350610,Pressure cooker #3,5,$74.37,6/20/2023,S77,Intercompany
O35791,C01793,EMEA,I293000,Butane torch #2,1,$273.93,8/22/2023,S32,Intercompany
O35791,C01793,EMEA,I293330,Chocolatera #2,1,$231.58,8/22/2023,S32,Intercompany
O35791,C01793,EMEA,I293258,Cheesemelter #1,1,$213.32,8/22/2023,S32,Intercompany
O35819,C07063,N. America,IFT4616,Rotimatic #3,2,$129.09,7/23/2023,S21,Not IC
O36007,C01761,LATAM,I293617,Combi steamer #2,6,$702.02,9/27/2023,S20,Not IC
O36007,C01761,LATAM,I293000,Butane torch #2,1,$420.65,9/27/2023,S20,Not IC
O36007,C01761,LATAM,I350340,Panini sandwich grill #1,1,$327.22,9/27/2023,S20,Not IC
O36007,C01761,LATAM,I293460,Clome oven #1,1,$310.93,9/27/2023,S20,Not IC
O36007,C01761,LATAM,I293460,Clome oven #1,1,$284.18,9/27/2023,S20,Not IC
O36007,C01761,LATAM,I293330,Chocolatera #2,1,$273.95,9/27/2023,S20,Not IC
O36007,C01761,LATAM,I293330,Chocolatera #2,1,$265.60,9/27/2023,S20,Not IC
O36069,C01741,APAC,I512340,Slow cooker #1,2,$717.14,9/29/2022,S59,Intercompany
O36069,C01741,APAC,I512340,Slow cooker #1,1,$360.57,9/29/2022,S59,Intercompany
O36107,C01738,EMEA,I512340,Slow cooker #1,3,$101.02,7/30/2023,S30,Intercompany
O36181,C01725,EMEA,I962000,Microwave oven #2,1,$199.95,8/30/2022,S60,Not IC
O36257,C01713,LATAM,I512500,Solar cooker #2,1,$191.99,8/31/2023,S32,Not IC
O36275,C08673,N. America,I350002,Masonry oven #1,1,$305.31,5/31/2023,S05,Not IC
O36279,C10787,LATAM,I293000,Butane torch #2,1,$372.33,5/31/2022,S32,Not IC
O36553,C01667,LATAM,I293617,Combi steamer #2,6,$702.02,4/11/2023,S20,Not IC
O36553,C01667,LATAM,I293000,Butane torch #2,1,$508.54,4/11/2023,S20,Not IC
O36553,C01667,LATAM,I350340,Panini sandwich grill #1,1,$327.22,4/11/2023,S20,Not IC
O36601,C01662,APAC,I962000,Microwave oven #2,1,$226.78,10/12/2023,S60,Not IC
O36605,C01662,APAC,I293000,Butane torch #2,1,$327.17,7/12/2022,S60,Not IC
O36761,C01991,APAC,I246000,Russian oven #1,1,$162.50,9/14/2023,S60,Not IC
O36761,C01991,APAC,I960000,Instant Pot #1,1,$143.40,9/14/2023,S60,Not IC
O36763,C06251,N. America,I950617,Hot plate #3,1,$207.70,6/14/2022,S09,Not IC
O36785,C06001,N. America,I539336,Thermal immersion circulator #2,1,$525.36,10/14/2023,S05,Not IC
O36927,C01615,APAC,I295000,Communal oven #3,1,$363.99,7/19/2023,S60,Not IC
O37019,C09073,N. America,I009TRA,Bachelor griller #2,1,$141.93,5/20/2023,S04,Not IC
O37029,C04348,N. America,I512340,Slow cooker #1,1,$751.49,7/20/2022,S10,Not IC
O37053,C01597,APAC,I246000,Russian oven #1,1,$174.22,4/21/2023,S60,Not IC
O37113,C01585,APAC,I293617,Combi steamer #2,9,$679.88,10/24/2023,S60,Not IC
O37113,C01585,APAC,I293000,Butane torch #2,1,$277.83,10/24/2023,S60,Not IC
O37113,C01585,APAC,I260258,Sous-vide cooker #1,10,$276.43,10/24/2023,S60,Not IC
O37113,C01585,APAC,I350330,Oven #2,1,$128.13,10/24/2023,S60,Not IC
O37113,C01585,APAC,I350258,Mess kit #2,1,$77.33,10/24/2023,S60,Not IC
O37125,C01581,EMEA,I962000,Microwave oven #2,1,$199.95,6/24/2023,S60,Not IC
O37263,C01558,N. America,I810336,Chocolatera #1,1,$864.06,9/26/2023,S10,Not IC
O37263,C01558,N. America,I810336,Chocolatera #1,3,$610.92,9/26/2023,S10,Not IC
O37263,C01558,N. America,I810600,Chorkor oven #2,1,$488.90,9/26/2023,S10,Not IC
O37263,C01558,N. America,I810330,Cheesemelter #3,1,$341.56,9/26/2023,S10,Not IC
O37263,C01558,N. America,I810001,Butane torch #1,1,$287.51,9/26/2023,S10,Not IC
O37263,C01558,N. America,I810600,Chorkor oven #2,1,$283.45,9/26/2023,S10,Not IC
O37263,C01558,N. America,I810600,Chorkor oven #2,1,$157.51,9/26/2023,S10,Not IC
O37267,C01558,N. America,I350336,Pancake machine #3,1,$907.76,9/26/2023,S10,Not IC
O37267,C01558,N. America,I350002,Masonry oven #1,1,$406.39,9/26/2023,S10,Not IC
O37267,C01558,N. America,I350330,Oven #2,1,$171.94,9/26/2023,S10,Not IC
O37267,C01558,N. America,I350330,Oven #2,1,$145.10,9/26/2023,S10,Not IC
O37513,C06098,LATAM,I302610,Griddle #3,10,$169.98,9/3/2023,S39,Not IC
O37549,C01530,N. America,I539340,Toaster and toaster ovens #3,1,$103.25,9/4/2023,S09,Not IC
O37585,C02650,APAC,I202258,Flattop grill #2,1,$338.12,7/5/2023,S59,Intercompany
O37637,C12003,LATAM,I136258,Communal oven #1,16,$351.79,5/5/2023,S45,Intercompany
O37659,C01520,APAC,I950617,Hot plate #3,5,$677.70,10/8/2023,S59,Intercompany
