Order Number,Customer Number,Region,Item Number,Item Description LOOKUP,Backlog Quantity,Backlog USD,Order Date,Salesperson Code,Intercompany
O37659,C01520,APAC,I962000,Microwave oven #2,1,$212.51,10/8/2023,S59,Intercompany
O37659,C01520,APAC,I920160,Convection microwave #3,5,$171.30,10/8/2023,S59,Intercompany
O37659,C01520,APAC,I950617,Hot plate #3,1,$148.32,10/8/2023,S59,Intercompany
O37661,C01519,APAC,I950617,Hot plate #3,6,$804.98,10/8/2023,S59,Intercompany
O37661,C01519,APAC,I950617,Hot plate #3,6,$804.98,10/8/2023,S59,Intercompany
O37661,C01519,APAC,I962258,Multicooker #3,1,$441.10,10/8/2023,S59,Intercompany
O37661,C01519,APAC,I950617,Hot plate #3,2,$285.35,10/8/2023,S59,Intercompany
O37661,C01519,APAC,I960500,Masonry oven #3,1,$181.14,10/8/2023,S59,Intercompany
O37779,C04775,EMEA,I810627,Clome oven #3,2,$694.92,8/10/2023,S25,Intercompany
O37779,C04775,EMEA,I800638,Bread machine #3,8,$97.76,8/10/2023,S25,Intercompany
O37845,C01662,APAC,I350000,Kitchener range #3,1,$186.68,10/11/2023,S60,Not IC
O37845,C01662,APAC,I246000,Russian oven #1,1,$138.07,10/11/2023,S60,Not IC
O37845,C01662,APAC,I350330,Oven #2,1,$105.90,10/11/2023,S60,Not IC
O37845,C01662,APAC,I240610,Roasting jack #3,10,$77.50,10/11/2023,S60,Not IC
O37845,C01662,APAC,I350610,Pressure cooker #3,3,$72.07,10/11/2023,S60,Not IC
O38125,C02012,LATAM,I850005,Combi steamer #1,1,$396.07,9/17/2023,S09,Not IC
O38127,C02012,LATAM,I850005,Combi steamer #1,1,$472.49,6/17/2023,S09,Not IC
O38127,C02012,LATAM,I850005,Combi steamer #1,1,$472.49,6/17/2023,S09,Not IC
O38235,C01453,APAC,I293000,Butane torch #2,1,$256.48,8/22/2023,S60,Not IC
O38275,C01440,EMEA,I950617,Hot plate #3,2,$285.35,10/22/2023,S30,Intercompany
O38287,C01439,N. America,I850005,Combi steamer #1,1,$374.00,6/22/2023,S06,Not IC
O38287,C01439,N. America,I850005,Combi steamer #1,1,$157.23,6/22/2023,S06,Not IC
O38287,C01439,N. America,I850005,Combi steamer #1,1,$143.97,6/22/2023,S06,Not IC
O38407,C01412,LATAM,I960500,Masonry oven #3,1,$238.86,5/24/2022,S32,Not IC
O38427,C08158,N. America,I291617,Wet grinder #2,5,$422.08,7/24/2023,S10,Not IC
O38445,C01403,LATAM,I961000,Mess kit #1,1,$161.11,6/25/2023,S70,Not IC
O38447,C01402,APAC,I950336,Hibachi #1,1,$327.58,8/25/2023,S59,Intercompany
O38447,C01402,APAC,I960000,Instant Pot #1,1,$159.40,8/25/2023,S59,Intercompany
O38447,C01402,APAC,I920160,Convection microwave #3,3,$105.76,8/25/2023,S59,Intercompany
O38447,C01402,APAC,I950258,Halogen oven #3,1,$79.65,8/25/2023,S59,Intercompany
O38501,C01392,APAC,I202330,Hibachi #3,1,$716.75,11/26/2022,S60,Not IC
O38501,C01392,APAC,I202502,Hot plate #2,1,$175.66,11/26/2022,S60,Not IC
O38539,C01385,APAC,I293000,Butane torch #2,1,$300.40,8/26/2023,S59,Intercompany
O38543,C01472,N. America,I293000,Butane torch #2,1,$313.98,7/30/2023,S04,Not IC
O38543,C01472,N. America,I293336,Chorkor oven #3,1,$143.00,7/30/2023,S04,Not IC
O38577,C01377,EMEA,I960500,Masonry oven #3,1,$172.73,9/30/2023,S30,Intercompany
O38641,C01363,APAC,I201258,Fire pot #1,1,$322.50,8/31/2023,S59,Intercompany
O38643,C01363,APAC,I201258,Fire pot #1,1,$322.50,7/31/2022,S59,Intercompany
O38645,C01363,APAC,I260258,Sous-vide cooker #1,13,$709.82,10/1/2023,S59,Intercompany
O38645,C01363,APAC,I201258,Fire pot #1,1,$322.50,10/1/2023,S59,Intercompany
O38647,C01363,APAC,I201258,Fire pot #1,1,$322.50,10/31/2022,S59,Intercompany
O38649,C01363,APAC,I201258,Fire pot #1,1,$322.50,7/1/2023,S59,Intercompany
O38667,C01362,N. America,I136258,Communal oven #1,2,$767.92,7/1/2023,S21,Not IC
O38691,C01530,N. America,I539617,Vacuum fryer #2,2,$350.95,7/1/2023,S09,Not IC
O38765,C01672,LATAM,I303258,Hibachi #2,10,$275.80,7/2/2022,S45,Intercompany
O38801,C01350,EMEA,I960500,Masonry oven #3,1,$193.33,10/2/2023,S60,Not IC
O38881,C02650,APAC,I201258,Fire pot #1,5,$147.35,7/5/2023,S59,Intercompany
O38893,C06838,N. America,I350002,Masonry oven #1,1,$371.42,11/5/2022,S09,Not IC
O38919,C04185,EMEA,I350258,Mess kit #2,1,$611.94,6/6/2023,S30,Intercompany
O38987,C04291,LATAM,IFT4616,Rotimatic #3,1,$75.51,9/7/2023,S07,Not IC
O39017,C01672,LATAM,I136258,Communal oven #1,1,$259.06,6/7/2023,S45,Intercompany
O39159,C01315,APAC,I293617,Combi steamer #2,10,$839.33,7/12/2023,S60,Not IC
O39159,C01315,APAC,I293000,Butane torch #2,1,$312.83,7/12/2023,S60,Not IC
O39159,C01315,APAC,I292460,Bread machine #1,1,$173.89,7/12/2023,S60,Not IC
O39159,C01315,APAC,I293336,Chorkor oven #3,1,$116.70,7/12/2023,S60,Not IC
O39171,C01306,EMEA,I350000,Kitchener range #3,1,$203.81,9/12/2023,S32,Intercompany
O39171,C01306,EMEA,I350330,Oven #2,1,$138.53,9/12/2023,S32,Intercompany
O39171,C01306,EMEA,I350330,Oven #2,1,$116.91,9/12/2023,S32,Intercompany
O39189,C04945,LATAM,I920617,Corn roaster #2,10,$103.83,9/12/2023,S67,Not IC
O39199,C06104,EMEA,I201258,Fire pot #1,1,$359.34,11/12/2022,S52,Not IC
O39201,C06104,EMEA,I240610,Roasting jack #3,4,$176.63,12/12/2022,S52,Not IC
O39207,C06560,N. America,I293000,Butane torch #2,1,$426.51,7/12/2023,S06,Not IC
O39211,C05780,N. America,I293000,Butane torch #2,1,$346.39,7/12/2023,S10,Not IC
O39349,C08743,N. America,I293000,Butane torch #2,1,$321.46,8/15/2023,S10,Not IC
O39419,C01285,N. America,I295538,Corn roaster #3,2,$310.44,9/16/2023,S06,Not IC
O39517,C07033,EMEA,I293330,Chocolatera #2,1,$295.59,10/19/2023,S27,Intercompany
O39517,C07033,EMEA,I293258,Cheesemelter #1,1,$272.28,10/19/2023,S27,Intercompany
O39523,C02255,LATAM,I136348,Convection oven #3,2,$166.58,8/19/2023,S45,Intercompany
O39551,C02650,APAC,I201258,Fire pot #1,1,$322.50,7/19/2023,S59,Intercompany
O39573,C01268,APAC,I960500,Masonry oven #3,1,$181.14,9/20/2023,S59,Intercompany
O39651,C01254,EMEA,I293000,Butane torch #2,1,$324.55,11/21/2022,S30,Intercompany
O39699,C01245,N. America,I293000,Butane torch #2,1,$324.55,7/22/2023,S04,Not IC
O39701,C08373,N. America,I800001,Wet grinder #1,1,$231.19,7/22/2023,S09,Not IC
O39779,C02922,EMEA,I350000,Kitchener range #3,1,$266.18,9/23/2023,S31,Intercompany
O39781,C01238,EMEA,I961000,Mess kit #1,1,$202.52,8/23/2023,S31,Intercompany
O39785,C01234,EMEA,I293000,Butane torch #2,1,$324.55,8/23/2023,S32,Intercompany
O39785,C01234,EMEA,I293330,Chocolatera #2,1,$295.59,8/23/2023,S32,Intercompany
O39785,C01234,EMEA,I293258,Cheesemelter #1,1,$272.28,8/23/2023,S32,Intercompany
O39803,C01229,LATAM,I202336,Hot box (appliance) #1,1,$495.22,6/26/2022,S17,Not IC
O39823,C01221,APAC,I950617,Hot plate #3,4,$563.75,8/26/2023,S60,Not IC
O39823,C01221,APAC,I950617,Hot plate #3,2,$293.03,8/26/2023,S60,Not IC
O39823,C01221,APAC,I960500,Masonry oven #3,1,$186.01,8/26/2023,S60,Not IC
O39869,C08533,N. America,IP02330,Salamander broiler #3,1,$381.59,9/26/2023,S21,Not IC
O39869,C08533,N. America,IP02330,Salamander broiler #3,1,$144.09,9/26/2023,S21,Not IC
O39959,C02223,APAC,I962000,Microwave oven #2,1,$211.38,8/28/2023,S60,Not IC
O39967,C03855,EMEA,I510098,Rice polisher #1,1,$523.26,9/28/2023,S52,Not IC
O39967,C03855,EMEA,I510098,Rice polisher #1,1,$326.75,9/28/2023,S52,Not IC
O39977,C01192,APAC,I950617,Hot plate #3,3,$367.28,9/28/2023,S60,Not IC
O39977,C01192,APAC,I950617,Hot plate #3,3,$367.28,9/28/2023,S60,Not IC
O39977,C01192,APAC,I960000,Instant Pot #1,1,$139.91,9/28/2023,S60,Not IC
O39991,C02821,N. America,I293000,Butane torch #2,1,$277.69,7/28/2023,S05,Not IC
O39991,C02821,N. America,I350000,Kitchener range #3,1,$251.76,7/28/2023,S05,Not IC
O39991,C02821,N. America,I293336,Chorkor oven #3,1,$156.46,7/28/2023,S05,Not IC
O40031,C01185,APAC,I136500,Corn roaster #1,1,$930.44,9/29/2023,S60,Not IC
O40031,C01185,APAC,I134500,Chorkor oven #1,1,$697.08,9/29/2023,S60,Not IC
O40031,C01185,APAC,I133336,Beehive oven #1,1,$441.99,9/29/2023,S60,Not IC
O40031,C01185,APAC,I136258,Communal oven #1,1,$348.62,9/29/2023,S60,Not IC
O40031,C01185,APAC,I133258,Barbecue grill #3,1,$164.00,9/29/2023,S60,Not IC
O40033,C01182,APAC,I293000,Butane torch #2,1,$261.29,12/29/2022,S60,Not IC
O40039,C01236,N. America,I350002,Masonry oven #1,1,$283.99,10/29/2023,S05,Not IC
O40057,C01172,APAC,I293000,Butane torch #2,1,$300.40,12/29/2022,S59,Intercompany
O40071,C01168,LATAM,I960500,Masonry oven #3,1,$234.45,7/29/2023,S22,Not IC
O40095,C01164,N. America,I293000,Butane torch #2,1,$411.44,10/30/2023,S05,Not IC
O40095,C01164,N. America,I293336,Chorkor oven #3,1,$158.10,10/30/2023,S05,Not IC
O40111,C01160,APAC,I240610,Roasting jack #3,13,$530.92,6/30/2023,S60,Not IC
O40111,C01160,APAC,I246000,Russian oven #1,1,$508.20,6/30/2023,S60,Not IC
O40111,C01160,APAC,I246000,Russian oven #1,1,$209.89,6/30/2023,S60,Not IC
O40111,C01160,APAC,I260258,Sous-vide cooker #1,3,$109.93,6/30/2023,S60,Not IC
O40115,C01158,APAC,I350258,Mess kit #2,1,$611.94,12/30/2022,S59,Intercompany
O40119,C01157,APAC,I246000,Russian oven #1,2,$853.05,7/30/2023,S59,Intercompany
O40119,C01157,APAC,I246000,Russian oven #1,2,$347.49,7/30/2023,S59,Intercompany
O40119,C01157,APAC,I200258,Espresso machine #3,1,$149.55,7/30/2023,S59,Intercompany
O40121,C01156,APAC,I136258,Communal oven #1,1,$339.06,8/30/2023,S59,Intercompany
O40125,C01348,EMEA,I202298,Griddle #1,1,$323.48,9/30/2023,S66,Not IC
O40125,C01348,EMEA,I236098,Oven #3,1,$109.65,9/30/2023,S66,Not IC
O40175,C01146,EMEA,I293000,Butane torch #2,1,$300.40,6/30/2023,S27,Intercompany
O40181,C01146,EMEA,I293330,Chocolatera #2,1,$295.59,8/30/2023,S27,Intercompany
O40181,C01146,EMEA,I293258,Cheesemelter #1,1,$272.28,8/30/2023,S27,Intercompany
O40197,C01141,N. America,I201258,Fire pot #1,1,$451.60,11/30/2022,S05,Not IC
O40213,C08338,N. America,I960348,Kitchener range #2,1,$726.40,9/30/2023,S05,Not IC
O40213,C08338,N. America,I962460,Pancake machine #2,2,$277.93,9/30/2023,S05,Not IC
O40213,C08338,N. America,I962000,Microwave oven #2,1,$218.47,9/30/2023,S05,Not IC
O40215,C01135,LATAM,I962000,Microwave oven #2,1,$226.81,9/3/2022,S39,Not IC
O40283,C03695,N. America,I201258,Fire pot #1,2,$868.81,7/5/2023,S10,Not IC
O40299,C01125,EMEA,I350330,Oven #2,1,$343.10,1/6/2023,S52,Not IC
O40299,C01125,EMEA,I350000,Kitchener range #3,1,$189.32,1/6/2023,S52,Not IC
O40311,C02814,EMEA,I950617,Hot plate #3,1,$148.32,10/6/2023,S32,Intercompany
O40311,C02814,EMEA,I950617,Hot plate #3,1,$148.32,10/6/2023,S32,Intercompany
O40385,C08271,EMEA,I950348,Hot box (appliance) #2,1,$913.33,9/7/2023,S38,Not IC
O40385,C08271,EMEA,I300259,Deep fryer #2,15,$295.07,9/7/2023,S38,Not IC
O40385,C08271,EMEA,I231260,Microwave oven #1,1,$230.92,9/7/2023,S38,Not IC
O40385,C08271,EMEA,I950617,Hot plate #3,25,$127.70,9/7/2023,S38,Not IC
O40443,C01108,APAC,I950617,Hot plate #3,2,$285.35,8/10/2023,S59,Intercompany
O40443,C01108,APAC,I950617,Hot plate #3,2,$285.35,8/10/2023,S59,Intercompany
O40443,C01108,APAC,I960000,Instant Pot #1,1,$159.40,8/10/2023,S59,Intercompany
O40443,C01108,APAC,I950617,Hot plate #3,1,$148.32,8/10/2023,S59,Intercompany
O40443,C01108,APAC,I950617,Hot plate #3,1,$148.32,8/10/2023,S59,Intercompany
O40443,C01108,APAC,I950617,Hot plate #3,1,$148.32,8/10/2023,S59,Intercompany
O40453,C01502,EMEA,I134500,Chorkor oven #1,1,$457.98,10/10/2023,S77,Intercompany
O40453,C01502,EMEA,I134208,Butane torch #3,1,$402.89,10/10/2023,S77,Intercompany
O40453,C01502,EMEA,I133336,Beehive oven #1,1,$348.82,10/10/2023,S77,Intercompany
O40525,C04663,LATAM,I302258,Fire pot #3,6,$419.80,1/11/2023,S32,Not IC
O40525,C04663,LATAM,I136258,Communal oven #1,1,$288.66,1/11/2023,S32,Not IC
O40525,C04663,LATAM,I133608,Bread machine #2,2,$236.82,1/11/2023,S32,Not IC
O40615,C07899,N. America,I850005,Combi steamer #1,1,$593.90,7/12/2022,S09,Not IC
O40631,C04038,EMEA,I920617,Corn roaster #2,2,$203.95,9/13/2023,S32,Intercompany
O40739,C05633,N. America,I800600,Beehive oven #2,1,$932.68,9/18/2023,S10,Not IC
O40739,C05633,N. America,I800256,Air fryer #2,1,$554.25,9/18/2023,S10,Not IC
O40739,C05633,N. America,I800336,Bachelor griller #3,1,$483.12,9/18/2023,S10,Not IC
O40739,C05633,N. America,I800336,Bachelor griller #3,1,$454.55,9/18/2023,S10,Not IC
O40739,C05633,N. America,I800346,Barbecue grill #1,1,$381.29,9/18/2023,S10,Not IC
O40739,C05633,N. America,I800336,Bachelor griller #3,3,$345.77,9/18/2023,S10,Not IC
O40739,C05633,N. America,I800001,Wet grinder #1,1,$320.59,9/18/2023,S10,Not IC
O40739,C05633,N. America,I800600,Beehive oven #2,1,$281.76,9/18/2023,S10,Not IC
O40739,C05633,N. America,I800600,Beehive oven #2,1,$279.64,9/18/2023,S10,Not IC
O40739,C05633,N. America,I800336,Bachelor griller #3,2,$234.62,9/18/2023,S10,Not IC
O40739,C05633,N. America,I800600,Beehive oven #2,6,$230.54,9/18/2023,S10,Not IC
O40739,C05633,N. America,I800600,Beehive oven #2,1,$174.15,9/18/2023,S10,Not IC
O40739,C05633,N. America,I800336,Bachelor griller #3,1,$143.69,9/18/2023,S10,Not IC
O40739,C05633,N. America,I800346,Barbecue grill #1,1,$102.30,9/18/2023,S10,Not IC
O40757,C04945,LATAM,I920617,Corn roaster #2,3,$333.22,10/18/2023,S67,Not IC
O40757,C04945,LATAM,I302610,Griddle #3,10,$169.98,10/18/2023,S67,Not IC
O40757,C04945,LATAM,I133258,Barbecue grill #3,2,$108.40,10/18/2023,S67,Not IC
O40757,C04945,LATAM,I920617,Corn roaster #2,10,$103.83,10/18/2023,S67,Not IC
O40757,C04945,LATAM,I302610,Griddle #3,4,$71.57,10/18/2023,S67,Not IC
O40769,C01072,LATAM,I133258,Barbecue grill #3,1,$144.22,10/18/2022,S39,Not IC
O40901,C01055,LATAM,I240610,Roasting jack #3,15,$958.76,10/20/2023,S32,Not IC
O40901,C01055,LATAM,I350258,Mess kit #2,9,$917.56,10/20/2023,S32,Not IC
O40901,C01055,LATAM,I350608,Popcorn maker #2,1,$830.85,10/20/2023,S32,Not IC
O40901,C01055,LATAM,I350258,Mess kit #2,6,$817.32,10/20/2023,S32,Not IC
O40901,C01055,LATAM,I292340,Beehive oven #3,1,$751.94,10/20/2023,S32,Not IC
O40901,C01055,LATAM,I350610,Pressure cooker #3,15,$746.99,10/20/2023,S32,Not IC
O40901,C01055,LATAM,I201258,Fire pot #1,3,$647.30,10/20/2023,S32,Not IC
O40901,C01055,LATAM,I350340,Panini sandwich grill #1,1,$552.99,10/20/2023,S32,Not IC
O40901,C01055,LATAM,I290258,Thermal immersion circulator #3,4,$508.17,10/20/2023,S32,Not IC
O40901,C01055,LATAM,I291259,Turkey fryer #2,3,$145.15,10/20/2023,S32,Not IC
O40901,C01055,LATAM,I350638,Pressure fryer #1,1,$135.24,10/20/2023,S32,Not IC
O40901,C01055,LATAM,I291539,Vacuum fryer #3,2,$128.04,10/20/2023,S32,Not IC
O40901,C01055,LATAM,I291259,Turkey fryer #2,3,$113.23,10/20/2023,S32,Not IC
O40901,C01055,LATAM,I350258,Mess kit #2,2,$109.72,10/20/2023,S32,Not IC
O40901,C01055,LATAM,I350608,Popcorn maker #2,1,$95.15,10/20/2023,S32,Not IC
O40951,C01322,N. America,I539617,Vacuum fryer #2,6,$990.03,7/21/2023,S09,Not IC
O40951,C01322,N. America,I539617,Vacuum fryer #2,4,$745.19,7/21/2023,S09,Not IC
O40979,C05853,N. America,I520340,Tabun oven #3,2,$198.93,9/24/2023,S09,Not IC
O41011,C01981,EMEA,I512608,Sous-vide cooker #3,1,$192.56,10/24/2023,S30,Intercompany
O41011,C01981,EMEA,I512340,Slow cooker #1,4,$133.45,10/24/2023,S30,Intercompany
O41127,C07325,N. America,I810336,Chocolatera #1,1,$704.51,10/26/2023,S21,Not IC
O41127,C07325,N. America,I810600,Chorkor oven #2,1,$689.45,10/26/2023,S21,Not IC
O41127,C07325,N. America,I810600,Chorkor oven #2,1,$398.62,10/26/2023,S21,Not IC
O41127,C07325,N. America,I810005,Chapati maker #2,1,$397.46,10/26/2023,S21,Not IC
O41127,C07325,N. America,I810336,Chocolatera #1,2,$339.70,10/26/2023,S21,Not IC
O41127,C07325,N. America,I810600,Chorkor oven #2,1,$330.45,10/26/2023,S21,Not IC
O41127,C07325,N. America,I810001,Butane torch #1,1,$234.42,10/26/2023,S21,Not IC
O41127,C07325,N. America,I810336,Chocolatera #1,1,$139.82,10/26/2023,S21,Not IC
O41141,C01027,EMEA,I150459,Deep fryer #3,8,$259.62,11/27/2022,S36,Not IC
O41151,C06098,LATAM,I512340,Slow cooker #1,1,$608.64,1/27/2022,S39,Not IC
O41187,C01020,LATAM,I960000,Instant Pot #1,1,$170.12,11/28/2022,S29,Not IC
O41199,C04625,LATAM,I350258,Mess kit #2,1,$681.86,10/28/2022,S70,Not IC
O41201,C01017,LATAM,I960500,Masonry oven #3,1,$150.44,7/28/2023,S70,Not IC
O41217,C01015,N. America,I880000,Communal oven #2,1,$208.30,9/28/2023,S10,Not IC
O41249,C01010,EMEA,I351001,Rice cooker #3,1,$240.01,1/31/2023,S52,Not IC
O41281,C04310,N. America,I512340,Slow cooker #1,8,$359.52,9/1/2023,S09,Not IC
O41281,C04310,N. America,I236617,Pancake machine #1,12,$230.67,9/1/2023,S09,Not IC
O41281,C04310,N. America,I512340,Slow cooker #1,4,$193.20,9/1/2023,S09,Not IC
O41361,C01000,LATAM,I962000,Microwave oven #2,1,$169.05,2/2/2023,S70,Not IC
O41437,C01672,LATAM,I303258,Hibachi #2,5,$143.36,9/3/2023,S45,Intercompany
O41453,C04939,EMEA,I293330,Chocolatera #2,1,$295.59,10/3/2023,S30,Intercompany
O41453,C04939,EMEA,I293258,Cheesemelter #1,1,$272.28,10/3/2023,S30,Intercompany
O41629,C01922,EMEA,I350258,Mess kit #2,1,$611.94,9/8/2022,S30,Intercompany
O41659,C03855,EMEA,I302258,Fire pot #3,3,$96.02,11/9/2022,S52,Not IC
O41685,C01339,EMEA,I291617,Wet grinder #2,6,$358.04,10/9/2023,S27,Intercompany
O41685,C01339,EMEA,I291258,Toaster and toaster ovens #1,2,$297.88,10/9/2023,S27,Intercompany
O41685,C01339,EMEA,I295258,Convection microwave #1,2,$163.15,10/9/2023,S27,Intercompany
O41685,C01339,EMEA,I295258,Convection microwave #1,2,$163.15,10/9/2023,S27,Intercompany
O41685,C01339,EMEA,I295258,Convection microwave #1,2,$147.03,10/9/2023,S27,Intercompany
O41685,C01339,EMEA,I291258,Toaster and toaster ovens #1,2,$144.30,10/9/2023,S27,Intercompany
O41685,C01339,EMEA,I295258,Convection microwave #1,4,$135.93,10/9/2023,S27,Intercompany
O41685,C01339,EMEA,I295258,Convection microwave #1,2,$132.87,10/9/2023,S27,Intercompany
O41685,C01339,EMEA,I295258,Convection microwave #1,2,$129.05,10/9/2023,S27,Intercompany
O41685,C01339,EMEA,I295258,Convection microwave #1,2,$128.30,10/9/2023,S27,Intercompany
O41719,C00958,APAC,I272000,Stove #3,1,$792.95,10/10/2023,S59,Intercompany
O41719,C00958,APAC,I272617,Tabun oven #1,6,$388.78,10/10/2023,S59,Intercompany
O41767,C01382,N. America,I350258,Mess kit #2,1,$776.07,12/11/2022,S05,Not IC
O41795,C01482,N. America,I201258,Fire pot #1,1,$451.60,11/11/2022,S05,Not IC
O41861,C06119,LATAM,I942341,Fire pot #2,1,$157.48,12/14/2022,S22,Not IC
O41901,C00849,EMEA,I350000,Kitchener range #3,1,$199.08,2/16/2023,S32,Intercompany
O41917,C00934,LATAM,I960000,Instant Pot #1,1,$159.40,12/16/2022,S45,Intercompany
O41947,C03525,LATAM,I512340,Slow cooker #1,1,$764.90,10/16/2023,S09,Not IC
O41947,C03525,LATAM,I512340,Slow cooker #1,2,$144.58,10/16/2023,S09,Not IC
O41979,C00923,EMEA,I293000,Butane torch #2,1,$363.16,12/17/2022,S77,Intercompany
O41979,C00923,EMEA,I293330,Chocolatera #2,1,$295.59,12/17/2022,S77,Intercompany
O41979,C00923,EMEA,I293330,Chocolatera #2,1,$170.01,12/17/2022,S77,Intercompany
O41979,C00923,EMEA,I293330,Chocolatera #2,1,$118.66,12/17/2022,S77,Intercompany
O41979,C00923,EMEA,I290258,Thermal immersion circulator #3,1,$79.31,12/17/2022,S77,Intercompany
O42021,C10387,EMEA,I961000,Mess kit #1,1,$216.15,9/18/2023,S38,Not IC
O42033,C03819,EMEA,I950617,Hot plate #3,2,$285.35,12/18/2022,S77,Intercompany
O42033,C03819,EMEA,I950617,Hot plate #3,2,$285.35,12/18/2022,S77,Intercompany
O42033,C03819,EMEA,I950617,Hot plate #3,2,$285.35,12/18/2022,S77,Intercompany
O42033,C03819,EMEA,I950617,Hot plate #3,1,$148.32,12/18/2022,S77,Intercompany
O42053,C02650,APAC,I201258,Fire pot #1,1,$322.50,8/18/2022,S59,Intercompany
O42063,C04479,LATAM,I136500,Corn roaster #1,1,$608.11,12/21/2022,S70,Not IC
O42065,C05845,EMEA,I920617,Corn roaster #2,3,$333.22,9/21/2023,S14,Not IC
O42065,C05845,EMEA,I300336,Earth oven #3,5,$234.99,9/21/2023,S14,Not IC
O42065,C05845,EMEA,I300336,Earth oven #3,5,$210.66,9/21/2023,S14,Not IC
O42067,C01009,LATAM,I810336,Chocolatera #1,1,$160.42,10/21/2023,S25,Intercompany
O42079,C01394,N. America,I303330,Hot box (appliance) #3,1,$134.47,2/21/2022,S05,Not IC
O42127,C01672,LATAM,I303258,Hibachi #2,3,$885.12,8/22/2023,S45,Intercompany
O42127,C01672,LATAM,I539336,Thermal immersion circulator #2,1,$427.05,8/22/2023,S45,Intercompany
O42127,C01672,LATAM,I136258,Communal oven #1,15,$191.47,8/22/2023,S45,Intercompany
